---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : B (all channels)
Init with Instrument : 4 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-20  C 4E44C  -----00  F#5B34E  A 2FF04  -----00  -----00  -----00  -----00  F#6F004  -FF-A  00--------
02-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
02-22  C 3C205  -----00  E 5B34E  C 3FF04  -----00  -----00  -----00  -----00  E 6F004  ----A  00--------
02-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
02-24  C 4E44C  D 55A2F  D 5B34E  D 3FF04  D 5F104  F#5F104  A 5F104  -----00  D 6F004  FFF-A  00--------
02-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-26  C 4E44C  -----00  A 6C005  D 3FF04  -----00  -----00  -----00  A 6FD04  -----00  FFF-A  00--------
02-27  C 4E44C  -----00  G 6C005  -----00  -----00  -----00  -----00  G 6FD04  -----00  -FF-C  00--------
02-28  D 3C205  -----00  A 6C005  D 3FF04  -----00  -----00  -----00  A 6FD04  -----00  ----A  00--------
02-29  C 4E44C  -----00  G 6C005  -----00  -----00  -----00  -----00  G 6FD04  -----00  -FF-C  00--------
02-30  C 4E44C  -----00  A 6C005  D 3FF04  -----00  -----00  -----00  A 6FD04  -----00  -FF-A  00--------
02-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 6FD04  -----00  ----C  00--------
02-32  A 2C205  A 4482F  E 5802E  A 2FF04  A 4F104  C 5F104  E 5F104  E 6F004  A 6F004  F---A  00--------
02-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-34  A 2C205  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  F---A  00--------
02-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-36  C 4E44C  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
02-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
02-38  C 3C205  -----00  -----00  C 3FF04  -----00  -----00  -----00  -----00  -----00  ----A  00--------
02-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
02-40  A 2C205  A 4482F  E 5802E  A 2FF04  -----00  -----00  -----00  E 6F004  A 6F004  F---A  00--------
02-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-42  A 2C205  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  F---A  00--------
02-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-44  C 4E44C  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
02-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-46  C 3C205  -----00  -----00  C 3FF04  -----00  -----00  -----00  -----00  -----00  ----A  00--------
02-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-48  A 2C205  A 4482F  A 5B34E  A 2FF04  -----00  -----00  -----00  -----00  A 6F004  F---A  00--------
02-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-50  A 2C205  -----00  C 6B34E  A 2FF04  -----00  -----00  -----00  -----00  C 7F004  F---A  00--------
02-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
02-52  C 4E44C  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
02-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
02-54  C 3C205  -----00  D 6B34E  C 3FF04  -----00  -----00  -----00  -----00  D 7F004  ----A  00--------
02-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
02-56  C 4E44C  G 46A2F  -----00  G 2FF04  G 4F104  B 4F104  D 5F104  -----00  -----00  FFFFA  00--------
02-57  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  FFFFC  00--------
02-58  C 4E44C  -----00  D 7C005  G 2FF04  ----606  ----606  ----606  D 7FD04  ----606  FFFFA  00--------
02-59  C 4E44C  -----00  C 7C005  -----00  -----00  -----00  -----00  C 7FD04  -----00  FFFFC  00--------
